k,Energy (eV)
0.72939,-9.820259
0.75544,-9.820259
,
,
0.0,-9.782161
0.02605,-9.782161
0.0521,-9.782161
0.07815,-9.780802
0.1042,-9.779441
0.13025,-9.779441
0.1563,-9.77808
0.18235,-9.776719
0.2084,-9.776719
0.23445,-9.776719
0.2605,-9.775358
0.28655,-9.775358
0.3126,-9.776719
0.33865,-9.776719
0.3647,-9.776719
0.39074,-9.77808
0.41679,-9.77808
0.44284,-9.779441
0.46889,-9.779441
0.49494,-9.780802
0.52099,-9.782161
0.54704,-9.783522
0.57309,-9.783522
0.59914,-9.784883
0.62519,-9.784883
0.65124,-9.786243
0.67729,-9.786243
0.70334,-9.787604
0.72939,-9.787604
0.75544,-9.787604
,
,
0.0,-9.671955
0.02605,-9.671955
0.0521,-9.671955
0.07815,-9.670594
0.1042,-9.674675
0.13025,-9.678758
0.1563,-9.68284
0.18235,-9.686921
0.2084,-9.691003
0.23445,-9.700527
0.2605,-9.708691
0.28655,-9.718214
0.3126,-9.727738
0.33865,-9.735902
0.3647,-9.744065
0.39074,-9.75223
0.41679,-9.760393
0.44284,-9.768557
0.46889,-9.776719
0.49494,-9.780802
0.52099,-9.782161
0.54704,-9.783522
0.57309,-9.783522
0.59914,-9.784883
0.62519,-9.784883
0.65124,-9.786243
0.67729,-9.786243
0.70334,-9.787604
0.72939,-9.787604
0.75544,-9.787604
,
,
0.0,-9.671955
0.02605,-9.671955
0.0521,-9.671955
0.07815,-9.670594
0.1042,-9.670594
0.13025,-9.670594
0.1563,-9.673316
0.18235,-9.681479
0.2084,-9.691003
0.23445,-9.693725
0.2605,-9.697805
0.28655,-9.701888
0.3126,-9.705969
0.33865,-9.708691
0.3647,-9.712773
0.39074,-9.716854
0.41679,-9.719575
0.44284,-9.723656
0.46889,-9.727738
0.49494,-9.73046
0.52099,-9.734541
0.54704,-9.737263
0.57309,-9.741345
0.59914,-9.744065
0.62519,-9.746786
0.65124,-9.749508
0.67729,-9.750869
0.70334,-9.75223
0.72939,-9.753589
0.75544,-9.753589
,
,
0.0,-9.658349
0.02605,-9.662431
0.0521,-9.666512
0.07815,-9.670594
0.1042,-9.670594
0.13025,-9.670594
0.1563,-9.670594
0.18235,-9.669233
0.2084,-9.669233
0.23445,-9.669233
0.2605,-9.669233
0.28655,-9.670594
0.3126,-9.670594
0.33865,-9.671955
0.3647,-9.674675
0.39074,-9.676036
0.41679,-9.678758
0.44284,-9.681479
0.46889,-9.684199
0.49494,-9.686921
0.52099,-9.689642
0.54704,-9.692364
0.57309,-9.693725
0.59914,-9.696445
0.62519,-9.697805
0.65124,-9.699166
0.67729,-9.700527
0.70334,-9.701888
0.72939,-9.701888
0.75544,-9.703249
,
,
0.0,-9.658349
0.02605,-9.654268
0.0521,-9.650186
0.07815,-9.648825
0.1042,-9.655627
0.13025,-9.665152
0.1563,-9.670594
0.18235,-9.669233
0.2084,-9.669233
0.23445,-9.669233
0.2605,-9.669233
0.28655,-9.670594
0.3126,-9.670594
0.33865,-9.671955
0.3647,-9.674675
0.39074,-9.676036
0.41679,-9.678758
0.44284,-9.681479
0.46889,-9.684199
0.49494,-9.686921
0.52099,-9.689642
0.54704,-9.692364
0.57309,-9.693725
0.59914,-9.696445
0.62519,-9.697805
0.65124,-9.699166
0.67729,-9.700527
0.70334,-9.701888
0.72939,-9.701888
0.75544,-9.703249
,
,
0.0,-9.628416
0.02605,-9.633859
0.0521,-9.640661
0.07815,-9.644744
0.1042,-9.640661
0.13025,-9.63522
0.1563,-9.631138
0.18235,-9.625694
0.2084,-9.621614
0.23445,-9.61617
0.2605,-9.610728
0.28655,-9.606647
0.3126,-9.609368
